bonus,bonusRate,branching,completed,inspectCost,pid,startTime,variance,version
1.06,0.01,312,True,1,0,Thu Jan 25 2018 14:06:18 GMT-0800 (Pacific Standard Time),constant_high,c0.6
0.51,0.01,312,True,1,1,Thu Jan 25 2018 16:19:36 GMT-0500 (Eastern Standard Time),constant_high,c0.6
2.3,0.01,312,True,1,2,Thu Jan 25 2018 15:57:43 GMT-0600 (Central Standard Time),constant_high,c0.6
1.81,0.01,312,True,1,3,Thu Jan 25 2018 11:59:56 GMT-1000 (Hawaiian Standard Time),constant_high,c0.6
-0.3,0.01,312,True,1,4,Thu Jan 25 2018 15:18:23 GMT-0600 (CST),constant_high,c0.6
0.47,0.01,312,True,1,5,Thu Jan 25 2018 15:15:21 GMT-0600 (Central Standard Time),constant_high,c0.6
1.36,0.01,312,True,1,6,Thu Jan 25 2018 16:22:27 GMT-0500 (Eastern Standard Time),constant_high,c0.6
1.17,0.01,312,True,1,7,Thu Jan 25 2018 13:46:38 GMT-0800 (Pacific Standard Time),constant_high,c0.6
0.39,0.01,312,True,1,8,Thu Jan 25 2018 16:57:27 GMT-0500 (Eastern Standard Time),constant_high,c0.6
1.62,0.01,312,True,1,9,Thu Jan 25 2018 13:24:14 GMT-0800 (Pacific Standard Time),constant_high,c0.6
0.05,0.01,312,True,1,10,Thu Jan 25 2018 13:42:25 GMT-0800 (Pacific Standard Time),constant_high,c0.6
1.64,0.01,312,True,1,11,Thu Jan 25 2018 14:14:12 GMT-0700 (MST),constant_high,c0.6
1.22,0.01,312,True,1,12,Thu Jan 25 2018 16:03:28 GMT-0600 (Central Standard Time),constant_high,c0.6
0.9,0.01,312,True,1,13,Thu Jan 25 2018 16:41:48 GMT-0600 (CST),constant_high,c0.6
1.56,0.01,312,True,1,14,Thu Jan 25 2018 17:10:24 GMT-0500 (Eastern Standard Time),constant_high,c0.6
