pid,temp,p_error,logp,satisfice,prune,preference,exclude,high_score
0,10000000000.0,0.07061224489795918,-179.70384434593103,15,-5,depth_first,False,1
1,1e-05,0.5353061224489796,-74.10846576201257,0,-30,best_first,False,0
2,10000000000.0,0.07061224489795918,-194.8451588264289,10,-5,depth_first,False,1
3,0.08286427728546843,0.29285714285714287,-223.558917834127,,,Q,False,1
4,1e-05,0.2524489795918367,-28.78163340135307,0,-30,best_first,False,0
5,0.10985411419875572,0.1716326530612245,-202.90587117141115,,,Q,False,0
6,0.14563484775012445,0.19183673469387755,-176.55247216122137,,,Q,False,1
7,0.2559547922699533,0.23224489795918368,-260.7505763293623,,,Q,False,1
8,10000000000.0,0.4746938775510204,-188.5416267578402,0,-10,depth_first,False,0
9,1e-05,0.35346938775510206,-126.01922000283737,5,-5,best_first,False,0
10,0.10985411419875572,0.2726530612244898,-151.52603252183312,,,Q,False,1
11,0.08286427728546843,0.13122448979591836,-217.9269999039001,,,Q,False,0
12,1e-05,0.01,-0.18547273570658435,0,-30,best_first,False,0
13,10000000000.0,0.01,-88.44816449599097,5,-5,depth_first,False,1
14,10000000000.0,0.01,-149.0620806187271,5,-10,depth_first,False,0
15,10000000000.0,0.01,-71.22173340390195,0,-5,depth_first,False,0
16,1e-05,0.2726530612244898,-32.67276653177573,0,-30,best_first,False,0
17,0.19306977288832497,0.13122448979591836,-199.4921091157073,,,Q,False,1
18,1e-05,0.09081632653061224,-11.677537453238623,0,-30,best_first,False,0
19,0.19306977288832497,0.01,-199.79527226718042,,,Q,False,1
20,10000000000.0,0.01,-207.17423626955704,20,-10,depth_first,False,1
21,10.0,0.11102040816326529,-193.04957224067786,10,-20,best_first,False,0
22,10000000000.0,0.01,-86.46559390219085,0,-5,depth_first,False,0
23,10000000000.0,0.1716326530612245,-198.38907803986493,15,-5,depth_first,False,0
24,10000000000.0,0.01,-88.99795691391807,0,-20,depth_first,False,0
25,1e-05,0.3130612244897959,-180.27412639123853,15,-30,best_first,False,1
26,1.8420699693267164,0.23224489795918368,-162.72218821484068,15,-10,best_first,False,1
28,0.14563484775012445,0.333265306122449,-251.15479348038028,,,Q,False,1
29,0.14563484775012445,0.1716326530612245,-192.9700438654883,,,Q,False,1
30,0.14563484775012445,0.2120408163265306,-178.81483666577319,,,Q,False,1
32,0.10985411419875572,0.15142857142857144,-163.65379972608386,,,Q,False,1
33,10000000000.0,0.01,-218.24391048666243,10,-20,depth_first,False,1
36,10000000000.0,0.2524489795918367,-45.122347124632235,15,0,depth_first,False,0
37,1e-05,0.5151020408163265,-143.06172665337778,5,-5,best_first,False,0
38,10000000000.0,0.13122448979591836,-180.47840583998112,10,-5,depth_first,False,1
39,2.44205309454865,0.4140816326530612,-266.7601411185202,25,-15,best_first,False,1
40,1.389495494373136,0.19183673469387755,-168.708365521768,15,-10,best_first,False,1
41,1.389495494373136,0.3130612244897959,-191.17204680197503,15,-5,best_first,False,1
42,10000000000.0,0.5555102040816327,-96.62206531488253,0,0,depth_first,False,0
43,1e-05,0.05040816326530612,-6.505171855756649,0,-30,best_first,False,0
44,10000000000.0,0.01,-244.7104097208346,15,-15,depth_first,False,1
45,10000000000.0,0.01,-61.73290272616073,0,-5,depth_first,False,0
46,10000000000.0,0.01,-81.59048262262073,0,-5,depth_first,False,0
47,10000000000.0,0.01,-164.73231657631146,5,-15,depth_first,False,1
48,10.0,0.4342857142857143,-62.12641980594357,0,-20,best_first,False,0
50,10000000000.0,0.01,-177.06495801368237,10,-15,depth_first,False,1
51,1e-05,0.35346938775510206,-143.61767744914056,15,-5,best_first,False,0
52,10000000000.0,0.01,-100.54360378017722,5,-5,depth_first,False,0
53,10000000000.0,0.01,-78.00631895027858,5,-5,depth_first,False,0
54,0.10985411419875572,0.35346938775510206,-210.8847339385872,,,Q,False,1
55,10000000000.0,0.01,-94.66042446563128,0,-15,depth_first,False,0
56,1e-05,0.2524489795918367,-197.21477370577594,25,-30,best_first,False,1
58,10000000000.0,0.01,-78.56251056529089,5,-5,depth_first,False,0
59,10000000000.0,0.01,-86.45817223254788,5,-5,depth_first,False,0
60,10000000000.0,0.01,-163.21087274756044,5,-30,depth_first,False,0
