questions,responses,rt,time_elapsed,trial_type,pid
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 cent for every $100 you make in the game""]",66683,459165,survey-multi-choice,0
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 dollar for every $10 you make in the game""]",50961,269685,survey-multi-choice,1
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 cent for every $100 you make in the game""]",58294,696355,survey-multi-choice,2
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $100 you make in the game""]",66650,673463,survey-multi-choice,3
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $100 you make in the game""]",767762,1084154,survey-multi-choice,4
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $100 you make in the game""]",38010,382437,survey-multi-choice,5
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $10 you make in the game""]",119121,1287569,survey-multi-choice,6
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 cent for every $10 you make in the game""]",54966,624864,survey-multi-choice,7
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $10 you make in the game""]",34077,420717,survey-multi-choice,8
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$0"",""1 dollar for every $10 you make in the game""]",47850,437154,survey-multi-choice,9
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 cent for every $10 you make in the game""]",35903,472622,survey-multi-choice,10
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$0"",""1 cent for every $100 you make in the game""]",92633,399303,survey-multi-choice,11
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 dollar for every $10 you make in the game""]",71685,589846,survey-multi-choice,12
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$0"",""1 cent for every $10 you make in the game""]",32864,344327,survey-multi-choice,13
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $10 you make in the game""]",16661,333798,survey-multi-choice,14
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $10 you make in the game""]",27969,887428,survey-multi-choice,15
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 dollar for every $10 you make in the game""]",31825,408783,survey-multi-choice,16
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $10 you make in the game""]",69690,427852,survey-multi-choice,17
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $10 you make in the game""]",61729,466195,survey-multi-choice,18
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $10 you make in the game""]",44370,558149,survey-multi-choice,19
