Unnamed: 0,groundtruth,return,actions,directions,mod_actions
0,"(1, -8, 48, -1, 8, -48, -2, -24, -8)",48.0,"[1, 7, 2, 5, 4, 8, 9]","['right', 'center', 'left']","[2, 8, 3, 6, 5, 9, 0]"
16,"(-1, -24, -8, -1, -48, -8, -1, -48, 4)",-4.0,"[1, 4, 7, 2, 5, 8, 9]","['left', 'left', 'right']","[2, 5, 8, 3, 6, 9, 0]"
34,"(-8, -1, -24, 4, -2, -24, -2, 24, 8)",21.0,"[1, 7, 2, 5, 3, 0, 9]","['center', 'left', 'center']","[2, 8, 3, 6, 4, 1, 0]"
51,"(4, -24, -2, 4, 48, 1, -2, 48, 8)",95.0,"[1, 4, 7, 2, 0, 9]","['left', 'center', 'center']","[2, 5, 8, 3, 1, 0]"
68,"(-48, 2, 4, 48, 1, -8, -2, -48, 4)",49.0,"[1, 7, 5, 3, 0, 8, 2, 9]","['right', 'left', 'right']","[2, 8, 6, 4, 1, 9, 3, 0]"
82,"(24, -8, -1, 48, -8, -2, -2, -48, 4)",70.0,"[1, 7, 2, 3, 0, 8, 9]","['left', 'left', 'right']","[2, 8, 3, 4, 1, 9, 0]"
96,"(1, -48, 4, 2, 24, 4, -1, 4, -48)",27.0,"[1, 4, 7, 8, 2, 9]","['right', 'center', 'center']","[2, 5, 8, 9, 3, 0]"
114,"(1, 48, -8, 1, 24, -4, 1, 24, 4)",93.0,"[1, 4, 7, 9]","['center', 'center', 'center']","[2, 5, 8, 0]"
132,"(1, 48, -4, 1, -24, -8, 8, 2, 24)",68.0,"[1, 4, 7, 8, 5, 9]","['center', 'left', 'right']","[2, 5, 8, 9, 6, 0]"
151,"(1, -48, -4, -1, 48, 4, -4, 48, -1)",93.0,"[1, 4, 7, 2, 9]","['left', 'center', 'center']","[2, 5, 8, 3, 0]"
170,"(-1, -48, -8, -2, -24, -4, 48, 1, -4)",38.0,"[1, 4, 7, 8, 6, 2, 5, 9]","['left', 'left', 'left']","[2, 5, 8, 9, 7, 3, 6, 0]"
187,"(1, -24, 4, -2, 48, -4, 24, 8, 2)",70.0,"[1, 4, 7, 8, 6, 2, 9]","['right', 'center', 'left']","[2, 5, 8, 9, 7, 3, 0]"
